Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
AC CN Equity,Air Canada,Industrials,Manufacturing,2020,Q2,2020-Q2,16.95,4.787778713,5029078528,22.33850261,2.461616039,0.406237197,0.295139015,28336.00102,0.020786105,0.61702698,0.55796162,0.868665689,0.606851486,0.126062738,0.019286982,0.000328896,-0.055494985
AC CN Equity,Air Canada,Industrials,Manufacturing,2020,Q3,2020-Q3,15.69,1.687372217,4655280128,22.26126792,2.434433937,0.41077311,-7.055112839,29404.99968,0.037725812,0.61702698,0.55796162,0.868665689,0.606851486,0.126062738,0.019286982,0.000328896,-0.055494985
AC CN Equity,Air Canada,Industrials,Manufacturing,2020,Q4,2020-Q4,22.77,2.303714392,7563556352,22.74660733,4.410241127,0.226744972,-11.89524841,28558.99955,-0.028770622,0.61702698,0.55796162,0.868665689,0.606851486,0.126062738,0.019286982,0.000328896,-0.055494985
AC CN Equity,Air Canada,Industrials,Manufacturing,2021,Q1,2021-Q1,26.15,1.858655428,8788898816,22.89675526,9.723492622,0.102843704,-16.39963341,28913.00045,0.012395424,0.430342355,0.630426475,0.771092261,0.66029355,-0.186684625,0.072464855,-0.097573427,0.053442065
AC CN Equity,Air Canada,Industrials,Manufacturing,2021,Q2,2021-Q2,25.5,3.635129525,9121979392,22.93395266,15.8095789,0.063252792,-17.56989288,27463.99949,-0.050115897,0.430342355,0.630426475,0.771092261,0.66029355,-0.186684625,0.072464855,-0.097573427,0.053442065
AC CN Equity,Air Canada,Industrials,Manufacturing,2021,Q3,2021-Q3,23.13,3.89736984,8274573312,22.83645319,57.06714249,0.017523218,-15.43579674,26503.99949,-0.034954851,0.430342355,0.630426475,0.771092261,0.66029355,-0.186684625,0.072464855,-0.097573427,0.053442065
AC CN Equity,Air Canada,Industrials,Manufacturing,2021,Q4,2021-Q4,21.12,3.75129311,7557477376,22.74580329,839.7355347,0.001190851,-14.50925064,30300.00026,0.143223696,0.430342355,0.630426475,0.771092261,0.66029355,-0.186684625,0.072464855,-0.097573427,0.053442065
AC CN Equity,Air Canada,Industrials,Manufacturing,2022,Q1,2022-Q1,24.25,1.721249546,8677977088,22.88405428,839.7355347,0.001190851,-11.75265026,30613.99962,0.010363015,0.539633922,0.800361534,0.88989446,0.723027743,0.109291567,0.169935059,0.118802198,0.062734192
AC CN Equity,Air Canada,Industrials,Manufacturing,2022,Q2,2022-Q2,16.04,3.53791252,5741809152,22.47104018,839.7355347,0.001190851,-11.07924747,29724.00026,-0.029071646,0.539633922,0.800361534,0.88989446,0.723027743,0.109291567,0.169935059,0.118802198,0.062734192
AC CN Equity,Air Canada,Industrials,Manufacturing,2022,Q3,2022-Q3,16.6,2.843828112,5958284288,22.50804841,839.7355347,0.001190851,-8.401912689,30364.00026,0.021531422,0.539633922,0.800361534,0.88989446,0.723027743,0.109291567,0.169935059,0.118802198,0.062734192
